iter	Passed	Remaining
0	2	231
1	4	220
2	6	212
3	8	201
4	10	196
5	11	187
6	13	181
7	15	178
8	17	174
9	18	170
10	20	169
11	23	169
12	24	165
13	26	165
14	28	162
15	30	160
16	32	158
17	34	157
18	36	154
19	37	151
20	39	148
21	41	147
22	43	144
23	45	142
24	46	139
25	48	138
26	50	135
27	52	134
28	54	133
29	56	132
30	58	130
31	60	129
32	62	127
33	64	126
34	66	124
35	68	122
36	70	120
37	72	118
38	74	116
39	76	115
40	79	113
41	79	110
42	81	108
43	83	106
44	85	104
45	87	102
46	89	100
47	91	99
48	93	97
49	95	95
50	97	93
51	99	91
52	101	90
53	103	88
54	105	86
55	106	84
56	108	82
57	110	80
58	112	78
59	114	76
60	116	74
61	118	72
62	120	70
63	122	68
64	124	66
65	126	65
66	128	63
67	130	61
68	132	59
69	134	57
70	135	55
71	137	53
72	139	51
73	140	49
74	142	47
75	144	45
76	145	43
77	147	41
78	149	39
79	151	37
80	152	35
81	153	33
82	155	31
83	157	29
84	158	27
85	159	26
86	161	24
87	162	22
88	163	20
89	165	18
90	166	16
91	167	14
92	168	12
93	169	10
94	171	9
95	172	7
96	173	5
97	174	3
98	176	1
99	177	0
